State,Country,Last Update,Confirmed,Deaths,Recovered,Date,Latitude,Longitude,Suspected,Discarded,Excluded
Campo Grande – MS,Brazil,,0,,,02-28-2020,,,9,2,1
Campo Grande – MS,Brazil,,0,,,03-02-2020,,,9,3,4
Campo Grande – MS,Brazil,,0,,,03-03-2020,,,14,3,4
Campo Grande – MS,Brazil,,0,,,03-04-2020,,,11,3,8
Campo Grande – MS,Brazil,,0,,,03-05-2020,,,5,9,8
Campo Grande – MS,Brazil,,0,,,03-06-2020,,,7,10,8
Campo Grande – MS,Brazil,,0,,,03-09-2020,,,7,15,8
Campo Grande – MS,Brazil,,0,,,03-10-2020,,,7,15,8
Campo Grande – MS,Brazil,,0,,,03-11-2020,,,7,15,8
Campo Grande – MS,Brazil,,0,,,03-12-2020,,,10,15,8
Campo Grande – MS,Brazil,,0,,,03-13-2020,,,15,16,8
Campo Grande – MS,Brazil,,2,,,03-14-2020,,,1,29,8
Campo Grande – MS,Brazil,,2,,,03-15-2020,,,4,39,8
Campo Grande – MS,Brazil,,4,,,03-16-2020,,,33,41,10
Campo Grande – MS,Brazil,,6,,,03-17-2020,,,26,69,11
Campo Grande – MS,Brazil,,7,,,03-18-2020,,,48,81,11
Campo Grande – MS,Brazil,,9,,,03-19-2020,,,39,112,11
Campo Grande – MS,Brazil,,12,,,03-20-2020,,,52,134,11
Campo Grande – MS,Brazil,,16,,,03-21-2020,,,50,159,11
Campo Grande – MS,Brazil,,21,,,03-22-2020,,,50,190,11
